ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1509;1509;1.79;212;2;both;1;FRANZISKANER WEIS KRISTAL 50VC;BRASSERIE FRANZIKANER;50;5;7
1517;1517;1.76;139;3;both;1;ERDINGER WEISS SANS ALC 50VC  ;BRASSERIE ERDINGER ;50;0.4;0
1524;1524;1.91;147;2;both;1;GDM SUPER POWER 33VP X24      ;BRASSERIE GUE DES MOINES;33;8;0
1528;1528;1.6;454;2;both;1;JEVER PILS 50VC               ;BRASSERIE JEVER;50;4.9;7
1531;1531;17.87;0;2;both;1;COLLIER COLSON 176MM          ;;100;0;0
1532;1532;20.86;0;2;both;1;COLLIER COLSON 260MM          ;;100;0;0
1533;1533;32.73;0;2;both;1;COLLIER COLSON 357MM          ;;100;0;0
1534;1534;20.49;0;2;both;1;COUPE TUBE MINI 4 A 16MM      ;;100;0;0
1535;1535;1.8;26;2;both;1;PAULANER SALVATOR 50VC        ;BRASSERIE PAULANER;50;7.9;0
1536;1536;24.87;0;2;both;1;COUPE TUBE STANDARD 6 A 28MM  ;;100;0;0
1537;1537;1.64;74;2;both;1;PAULANER HEFE WEIS NATUR 50VC ;BRASSERIE PAULANER;50;5.5;3
1550;1550;36.05;0;2;both;1;JEU DE CLE DE 6 PANS          ;;100;0;0
1551;1551;1.65;0;2;both;1;BOUCHON GUEST 3/8 (9.5MM)     ;;100;0;0
1562;1562;3.33;112;2;both;1;QUEUE DE CHARRUE BLONDE 75VC  ;BRASSERIE VANUXEEM;75;6.6;7
1565;1565;17.85;55;2;both;1;BROOKLYN BLACK OPS 75VP       ;BRASSERIE BROOKLYN;75;10.5;0
1567;1567;17.36;24;2;both;1;BROOKLYN CUVEE NOIRE 75VP     ;BRASSERIE BROOKLYN;75;10.6;0
1571;1571;10.99;36;2;both;1;BROOKLYN SILVER ANNIV LAG 75VP;BRASSERIE BROOKLYN;75;8.2;0
1586;1586;4.48;6;2;both;1;KWAK 75VP X6                  ;BRASSERIE BOSTEELS;75;8.4;4
1588;1588;4.38;0;2;both;1;AUGMENTATEUR GUEST 5/16-3/8   ;;100;0;0
1590;1590;12.31;1;2;both;1;COF QUEUE CHARRUE 4X33CL + 1V ;BRASSERIE VANUXEEM;132;7.45;18
1592;1592;4.86;0;2;both;1;UNION DOUBLE EGAL 3/8-3/8     ;;100;0;0
1595;1595;6.72;0;2;both;1;TE EGAL 3/8 (9.5MM)           ;;100;0;0
1597;1597;4.06;80;2;both;1;NICE CHOUFFE 20L              ;BRASSERIE D'ACHOUFFE;100;10;0
1598;1598;3.4;120;2;both;1;TONGERLO CHRISTMAS 30L        ;BRASSERIE HAATCH;100;7;0
1601;1601;8.35;0;2;both;1;EQUERRE INEGLAE MIXTE SM      ;;100;0;0
1602;1602;6.91;0;2;both;1;EQUERRE A QUEUE LISSE 3/8-3/8 ;;100;0;0
1603;1603;48.06;0;2;both;1;THERMOSTAT RANKO K50 -2.5°+14°;;100;0;0
1604;1604;53.67;0;2;both;1;THERMOSTAT ELIWELL ID961      ;;100;0;0
1605;1605;21.45;0;2;both;1;BROSSE DE TETE DE SOUTIRAGE   ;;100;0;0
1606;1606;21.45;0;2;both;1;BROSSE DE TETE DE SOUTIRAGE   ;;100;0;0
1607;1607;37.65;0;2;both;1;VANNE SORTIE BIERE            ;;100;0;0
1608;1608;28.4;0;2;both;1;DEGRAISSANT INOX AEROSOL      ;;100;0;0
1609;1609;154.2;0;2;both;1;ROBINET ALPHA 1 COMPENSATEUR  ;;100;0;0
1610;1610;13.96;0;2;both;1;QUEUE CRANTE ALPHA1 LG10      ;;100;0;0
1611;1611;13.96;0;2;both;1;QUEUE CRANTE ALPHA1 LG22      ;;100;0;0
1612;1612;4.92;0;2;both;1;CLE DE SERRAGE POUR ROBINET   ;;100;0;0
1618;1618;3.83;27;2;both;1;EFFET PAPILLON WHEAT ALE 75VP ;BRASSERIE EFFET PAPILLON;75;4.5;3
1631;1631;4.2;150;2;both;1;TIMMERMANS BLCHE LAMBICUS 15L ;BRASSERIE TIMMERMANS;100;4;3
1632;1632;1.32;240;2;both;1;ASAHI SUPER DRY 33VP          ;ASAHI;33;5;0
1649;1649;1.94;36;2;both;1;CIDRE BRUT 75CL               ;;75;4;0
1650;1650;1.94;44;2;both;1;CIDRE DOUX 75CL               ;;75;5.5;0
1666;1666;1.99;252;3;both;1;KAS CITRON 150PET X6          ;;150;0;0
1672;1672;1.83;713;2;both;1;CIDRE KUPELA DEMI-SEC 4°  33VP;SAS EGARRI EDARIAK;33;4;0
1673;1673;0.7;1416;3;both;1;OASIS TROPICAL 33BTE          ;;33;0;0
1674;1674;2.17;84;3;both;1;ORANGINA 150PET               ;;150;0;0
1678;1678;1.85;36;3;both;1;SCHWEPPES INDIAN TONIC 150PET ;;150;0;0
1679;1679;0.9;516;3;both;1;COCA COLA ZERO 33VC           ;;33;0;0
1680;1680;0.92;3169;3;both;1;COCA COLA 33VC                ;;33;0;0
1683;1683;2;0;4;both;1;RAUCH NEC ABRICOT S/PLACE 20CL;;20;0;0
1684;1684;2;0;4;both;1;RAUCH ACE S/PLACE 20CL        ;;20;0;0
1685;1685;2;-2;4;both;1;RAUCH N. ANANAS S/PLACE 20CL  ;;20;0;0
1686;1686;1.78;-24;2;both;1;MAGNERS ORIGINAL CIDER 33VP   ;MAGNER;33;4.5;0
1687;1687;2;0;4;both;1;RAUCH FRAISE S/PLACE 20CL     ;;20;0;0
1690;1690;2;0;4;both;1;RAUCH MANGUE S/PLACE 20CL     ;;20;0;0
1691;1691;2;0;4;both;1;RAUCH ORANGE PULP S/PLACE 20CL;RAUCH;20;0;0
1692;1692;2;0;4;both;1;RAUCH PAMPLEM. S/PLACE 20CL   ;RAUCH;20;0;0
1693;1693;2;0;4;both;1;RAUCH POIRE S/PLACE 20CL      ;RAUCH;20;0;0
1696;1696;2;0;4;both;1;RAUCH TOMATE S/PLACE 20CL     ;RAUCH;20;0;0
1721;1721;0.94;3277;3;both;1;ORANGINA 25VC                 ;;25;0;0
1725;1725;0.95;1512;3;both;1;SCHWEPPES INDIAN TONIC 25VC   ;;25;0;0
1726;1726;1.3;-1;4;both;1;COCA COLA S/PLACE 33 CL       ;;33;0;0
1727;1727;1.8;0;4;both;1;NESTEA PECHE S/ PLACE 20 CL   ;;20;0;0
1728;1728;2.71;0;4;both;1;ORANGINA S/PLACE 33CL         ;;25;0;0
1730;1730;3.59;0;3;both;1;DU CLAU POMME CERISE 75VP     ;;75;0;0
1740;1740;1;48;3;both;1;CACOLAC 25BTE                 ;;25;0;0
1741;1741;0.73;-49;3;both;1;COCA COLA 33BTE X24 X24 X24   ;;33;0;0
1742;1742;0.74;6390;3;both;1;X30 COCA 33BTE                ;;33;0;0
