ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
2275;2275;LOCATION MACHINE A CAFE 10L;AVEC ROBINET;0;16.6666;0;2;1;-13;100;0;1;0;     ;0
2276;2276;LOCATION MACHINE 2 TIRAGES;;0;20.8333;0;2;1;-4;100;0;1;0;     ;0
2277;2277;LOCATION MACHINE 1 TIRAGE;;0;20.8333;0;2;1;-18;100;0;1;0;     ;0
2278;2278;LOCATION REMORQUE FRIGO;LOC FROID;0;350;0;2;1;-4;100;0;1;0;     ;0
2279;2279;LOCATION TABLE RONDE PVC;;0;1.6666;0;2;1;-59;100;0;1;0;     ;0
2280;2280;LOCATION TABLE CARRE PVC;;0;1.6666;0;2;1;-15;100;0;1;0;     ;0
2281;2281;LOCATION TETE CREUSE;RACCORD RAPIDE;0;130;0;2;1;-33;100;0;1;0;     ;0
2285;2285;SANITATION 1T PRESSION CHEZ OB;LIVRE DANS NOS LOCAUX;0;50;0;2;1;-3;100;0;1;0;     ;0
2286;2286;SANITATION 1/2 T PRESSION EXT.;EFFECTUEE CHEZ LE CLIENT;0;66.6675;0;2;1;-153;100;0;1;0;     ;0
2294;2294;LOCATION TETE PLATE;RACCORD RAPIDE;0;130;0;2;1;-69;100;0;1;0;     ;0
2295;2295;LOCATION TETE KEYKEG;RACCORD RAPIDE;0;130;0;2;1;-68;100;0;1;0;     ;0
